At time                    6 ns, CLK=1, RST=1, D_IN=x, MATCH=0
At time                    7 ns, CLK=0, RST=1, D_IN=x, MATCH=0
At time                    8 ns, CLK=1, RST=1, D_IN=1, MATCH=0
At time                    8 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                    9 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   10 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   11 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   12 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   13 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   14 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   15 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   16 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   17 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   18 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   19 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   20 ns, CLK=1, RST=0, D_IN=0, MATCH=0
At time                   21 ns, CLK=0, RST=0, D_IN=0, MATCH=0
At time                   22 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   23 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   24 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   25 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   26 ns, CLK=1, RST=0, D_IN=0, MATCH=0
At time                   27 ns, CLK=0, RST=0, D_IN=0, MATCH=0
At time                   28 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   29 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   30 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   31 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   32 ns, CLK=1, RST=0, D_IN=0, MATCH=0
At time                   33 ns, CLK=0, RST=0, D_IN=0, MATCH=0
At time                   34 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   35 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   36 ns, CLK=1, RST=0, D_IN=0, MATCH=0
At time                   37 ns, CLK=0, RST=0, D_IN=0, MATCH=0
At time                   38 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   39 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   40 ns, CLK=1, RST=0, D_IN=0, MATCH=0
At time                   41 ns, CLK=0, RST=0, D_IN=0, MATCH=0
At time                   42 ns, CLK=1, RST=0, D_IN=1, MATCH=1
At time                   43 ns, CLK=0, RST=0, D_IN=1, MATCH=1
At time                   44 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   45 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   46 ns, CLK=1, RST=0, D_IN=0, MATCH=0
At time                   47 ns, CLK=0, RST=0, D_IN=0, MATCH=0
At time                   48 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   49 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   50 ns, CLK=1, RST=0, D_IN=0, MATCH=0
At time                   51 ns, CLK=0, RST=0, D_IN=0, MATCH=0
At time                   52 ns, CLK=1, RST=0, D_IN=0, MATCH=0
At time                   53 ns, CLK=0, RST=0, D_IN=0, MATCH=0
At time                   54 ns, CLK=1, RST=0, D_IN=0, MATCH=0
At time                   55 ns, CLK=0, RST=0, D_IN=0, MATCH=0
At time                   56 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   57 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   58 ns, CLK=1, RST=0, D_IN=0, MATCH=0
At time                   59 ns, CLK=0, RST=0, D_IN=0, MATCH=0
At time                   60 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   61 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   62 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   63 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   64 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   65 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   66 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   67 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   68 ns, CLK=1, RST=0, D_IN=0, MATCH=0
At time                   69 ns, CLK=0, RST=0, D_IN=0, MATCH=0
At time                   70 ns, CLK=1, RST=0, D_IN=0, MATCH=0
At time                   71 ns, CLK=0, RST=0, D_IN=0, MATCH=0
At time                   72 ns, CLK=1, RST=0, D_IN=0, MATCH=0
At time                   73 ns, CLK=0, RST=0, D_IN=0, MATCH=0
At time                   74 ns, CLK=1, RST=0, D_IN=0, MATCH=0
At time                   75 ns, CLK=0, RST=0, D_IN=0, MATCH=0
At time                   76 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   77 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   78 ns, CLK=1, RST=0, D_IN=0, MATCH=0
At time                   79 ns, CLK=0, RST=0, D_IN=0, MATCH=0
At time                   80 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   81 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   82 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   83 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   84 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   85 ns, CLK=0, RST=0, D_IN=1, MATCH=0
At time                   86 ns, CLK=1, RST=0, D_IN=1, MATCH=0
At time                   87 ns, CLK=0, RST=0, D_IN=1, MATCH=0
